FID;pointid;grid_code;lake_id;hl_avg_dis;hl_wrt_d;buflake
52177;454653;454653;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52181;454684;454684;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52182;454685;454685;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52183;454686;454686;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52187;454712;454712;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52188;454713;454713;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52189;454714;454714;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52191;454750;454750;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52193;454798;454798;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52195;454833;454833;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52197;454859;454859;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52199;454888;454888;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52200;454889;454889;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52201;454926;454926;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52202;454927;454927;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52203;454952;454952;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52204;454953;454953;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52205;454954;454954;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52206;454986;454986;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52207;454987;454987;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52208;454988;454988;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52209;455015;455015;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52210;455016;455016;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52211;455017;455017;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52212;455018;455018;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52213;455038;455038;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52214;455039;455039;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52215;455040;455040;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52216;455041;455041;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52217;455042;455042;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52218;455063;455063;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52219;455064;455064;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52220;455065;455065;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52221;455066;455066;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52222;455067;455067;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52223;455068;455068;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52224;455069;455069;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52225;455070;455070;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52226;455071;455071;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52227;455092;455092;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52228;455093;455093;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52229;455094;455094;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52230;455095;455095;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52231;455096;455096;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52232;455097;455097;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52233;455098;455098;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52234;455099;455099;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52235;455100;455100;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52236;455119;455119;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52237;455138;455138;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52238;455156;455156;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52239;455157;455157;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52240;455176;455176;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52241;455177;455177;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52242;455195;455195;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52243;455196;455196;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52244;455215;455215;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52245;455216;455216;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52246;455235;455235;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52247;455236;455236;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52248;455258;455258;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52249;455259;455259;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52250;455287;455287;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52251;455288;455288;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52252;455319;455319;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52253;455320;455320;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52255;455340;455340;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52256;455341;455341;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52258;455366;455366;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52259;455367;455367;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52260;455368;455368;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52262;455393;455393;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52263;455394;455394;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52264;455395;455395;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52266;455414;455414;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52267;455415;455415;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52269;455433;455433;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52270;455434;455434;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52271;455435;455435;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52273;455454;455454;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52274;455455;455455;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52275;455456;455456;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52277;455476;455476;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52278;455477;455477;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52279;455478;455478;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52280;455479;455479;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52281;455480;455480;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52282;455481;455481;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52283;455482;455482;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52284;455483;455483;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52286;455503;455503;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52287;455504;455504;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52288;455505;455505;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52289;455506;455506;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52291;455530;455530;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52292;455531;455531;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52294;455549;455549;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52295;455550;455550;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52297;455571;455571;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52298;455572;455572;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52299;455573;455573;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52300;455574;455574;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52301;455575;455575;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52302;455576;455576;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52303;455577;455577;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52314;455613;455613;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52315;455614;455614;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52316;455615;455615;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52317;455616;455616;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52318;455617;455617;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52319;455618;455618;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52320;455619;455619;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52321;455620;455620;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52323;455649;455649;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52324;455650;455650;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52325;455651;455651;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52327;455669;455669;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52328;455670;455670;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52329;455671;455671;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52331;455707;455707;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52332;455708;455708;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52334;455731;455731;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52336;455755;455755;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52338;455779;455779;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52340;455801;455801;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52342;455829;455829;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52344;455866;455866;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52345;455867;455867;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52346;455868;455868;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52347;455869;455869;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52349;455900;455900;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52351;455923;455923;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52353;455976;455976;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52355;455998;455998;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52357;456021;456021;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52359;456044;456044;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52360;456045;456045;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52362;456073;456073;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52363;456074;456074;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52365;456103;456103;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52367;456135;456135;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52368;456136;456136;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52370;456163;456163;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52371;456164;456164;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52373;456197;456197;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52375;456227;456227;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52377;456248;456248;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52378;456249;456249;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52379;456250;456250;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52381;456281;456281;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52382;456282;456282;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52384;456302;456302;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52385;456303;456303;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52387;456326;456326;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52389;456347;456347;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52391;456368;456368;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52393;456389;456389;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52395;456410;456410;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52397;456430;456430;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52399;456450;456450;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52401;456478;456478;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52402;456479;456479;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52403;456480;456480;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52404;456481;456481;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52405;456482;456482;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52406;456483;456483;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52407;456484;456484;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52409;456506;456506;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52410;456507;456507;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52411;456508;456508;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52413;456527;456527;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52414;456528;456528;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52415;456529;456529;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52417;456547;456547;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52418;456548;456548;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52419;456549;456549;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52420;456550;456550;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52422;456570;456570;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52423;456571;456571;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52424;456572;456572;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52425;456573;456573;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52427;456590;456590;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52428;456591;456591;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52429;456592;456592;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52431;456609;456609;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52432;456610;456610;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52433;456611;456611;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52434;456612;456612;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52436;456629;456629;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52437;456630;456630;-9999;-9999,000000000000000;-9999,000000000000000;-9999
