"samples","Aliphatic_(#)","Aliphatic_(%)","Aliphatic_(%RA)","CHO.1_(#)","CHO.2","CHON_(#)","CHON_(%)","CHOS_(#)","CHOS_(%)","CHO_(#)","CHO_(%)_(%)","Condensed_aromatics_(#)","Condensed_aromatics_(%)","Condensed_aromatics_(%RA)","Highly_Unsaturated_and_Phenolic_(#)","Highly_Unsaturated_and_Phenolic_(%)","Highly_Unsaturated_and_Phenolic_(%RA)","Num.formula_(#)","Peptide_(#)","Peptide_(%)","Peptide_(%RA)","Polyphenolic_(#)","Polyphenolic_(%)","Polyphenolic_(%RA)","Sugars_(#)","Sugars_(%)","Sugars_(%RA)","AI_WeightedAve","AImod_WeightedAve","AveMass","HC_WeightedAve","Mass_WeightedAve","NC_WeightedAve","NOSC_WeightedAve","OC_WeightedAve"
"LR06",386,6.96499458679177,7.7590620864393,4201,75.802959220498,1101,19.8664741970408,240,4.33056658246121,4201,75.802959220498,225,4.05990617105738,4.14690170329828,3989,71.9776254059906,165.605316281953,5542,132,2.38181162035366,0.577198377418174,681,12.2879826777337,19.9814485876778,103,1.85853482497294,0.63795130492635,0.0611585110257181,0.311870272982989,534.399466100866,1.09775680055998,441.306737564345,0.00312347082379466,0.0332453337533778,0.559981575865044
"LR12",445,7.74991292232671,8.3492950925158,4232,73.7025426680599,1215,21.1598746081505,295,5.13758272378962,4232,73.7025426680599,245,4.26680599094392,5.10181915410368,3986,69.418321142459,161.512120749208,5742,213,3.70950888192267,0.827712738715014,720,12.5391849529781,21.9671578462518,100,1.7415534656914,0.659456389031312,0.0660410811127346,0.316609832384069,527.560975426158,1.09256922397424,438.166816038667,0.00329015829193637,0.0380467509198974,0.559435712715924
"LR14",457,7.83876500857633,8.35111475486606,4367,74.9056603773585,1124,19.2795883361921,339,5.8147512864494,4367,74.9056603773585,273,4.68267581475129,5.75713508781959,4081,70,160.247409017672,5830,120,2.05831903945112,0.465341541616454,761,13.0531732418525,23.2685359085962,107,1.83533447684392,0.680063009918026,0.070354486375129,0.323283985045528,532.668936314751,1.08301319387918,439.68514483606,0.00286244005680123,0.0447064880482996,0.558641230478022
"LR15",462,7.73092369477911,8.67869142524196,4360,72.958500669344,1297,21.7034805890228,319,5.3380187416332,4360,72.958500669344,255,4.26706827309237,5.26211058647404,4113,68.8253012048193,160.815122317131,5976,249,4.16666666666667,0.913305976015662,743,12.4330655957162,21.838020849551,115,1.9243641231593,0.739249534188569,0.0658992841732324,0.315716547975736,529.977881665663,1.09485029298623,435.131431299045,0.00325901947373745,0.0361706574862879,0.559656468913698
"LR17",430,7.50698324022346,8.40273507145,4323,75.4713687150838,1117,19.5006983240223,288,5.02793296089385,4323,75.4713687150838,248,4.32960893854749,5.38172932638786,3973,69.3610335195531,161.02679007261,5728,207,3.61382681564246,0.814792949943186,724,12.6396648044693,22.0106760324024,111,1.93784916201117,0.726489960756655,0.0669599073835928,0.317081068763239,531.687864261871,1.09252011478054,435.8711114719,0.00290560155625562,0.0377436581528715,0.559847676121256
"LR20",443,7.45540222147426,7.88718261442989,4323,72.7532817233255,1320,22.2147425109391,299,5.03197576573544,4323,72.7532817233255,260,4.37563110063952,5.3846907300941,4071,68.5122854257826,160.456965113042,5942,264,4.44294850218782,0.992054388353893,745,12.5378660383709,22.5547227609478,121,2.03635139683608,0.812914243163192,0.0634552992959411,0.318574388557403,528.835499864355,1.08416156079565,438.896503142627,0.00347354173241781,0.0667040898191917,0.56926277163172
"LR24",367,6.83808459101919,7.3610778302485,4140,77.1380659586361,1010,18.8187069126141,217,4.04322712874977,4140,77.1380659586361,222,4.13638904415875,4.45097110498831,3798,70.7657909446619,163.739466740065,5367,164,3.05571082541457,0.722773785848687,680,12.6700204956214,21.2935548689584,113,2.10545928824296,0.818375420029328,0.0606261754938109,0.316092484052383,531.712095557481,1.08668411408255,443.727906699621,0.00290749154268302,0.059587951157263,0.567983441226396
"LR27",501,7.95996186844614,8.09665152476044,4581,72.7836034318399,1338,21.2583412774071,375,5.9580552907531,4581,72.7836034318399,292,4.63933905306641,5.62047255706142,4265,67.7629488401652,159.597768061297,6294,283,4.49634572608834,0.996557766261687,801,12.7264061010486,23.026147114035,117,1.85891325071496,0.781392922708985,0.0710149250131342,0.321912588646673,530.030053984112,1.08521708031644,441.257263914387,0.00321163776758439,0.0409738422471872,0.557297678004265
"LR31",359,6.52371433763402,7.11506492923516,4422,80.3561693621661,875,15.9004179538434,206,3.74341268399055,4422,80.3561693621661,267,4.85189896420134,5.3762677177178,3898,70.8340904960931,161.967140733906,5503,90,1.63547156096675,0.371805395376681,763,13.8651644557514,23.5029203906732,94,1.7081591858986,0.60274962871915,0.071364721746267,0.327163115272341,540.225340160094,1.07690870455965,444.330349823333,0.00235687393611338,0.0466998618953413,0.557574233164742
"LR32",338,6.23501199040767,6.68989908413988,4299,79.3027116768124,966,17.819590481461,156,2.87769784172662,4299,79.3027116768124,278,5.12820512820513,5.706431371019,3766,69.4705773842464,161.151676916828,5421,132,2.4349750968456,0.480157668805153,773,14.2593617413761,23.9928847451522,102,1.88157166574433,0.703468629322769,0.0712082083676609,0.329067709496254,534.869169308246,1.06961685548478,445.600696309145,0.0025284594032052,0.0666942854590154,0.563798965832766
