"sample","mz","HC","OC","DBE","DBE_O","AImod","NOSC","GFE","aliphatic","low.O.unsaturated","high.O.unsaturated","polyphenols","condensed.aromatics","fl_condensed.aromatics","fl_polyphenolic","fl_highly.unsat.phenolic","fl_aliphatic","fl_peptide","fl_sugar","H","O","C","N","S","sum","nformula"
"SW43",504.142079648331,1.09354916423206,0.541792066897098,11.7181668487164,-0.540383107378428,0.308322903192833,0.0549488655730553,58.7339573311679,11.6598237227677,24.9606193065997,41.5891847518454,15.3478657345648,4.77247933787394,5.36642746464849,14.7539176077902,68.2198312047936,7.31713791089169,4.34268581187598,0,24.9990149142886,12.2585499560948,23.0309296117148,0.373489388291756,0.071284352206953,9.97189960400833e-06,13737
"LR87",511.092063159052,1.08746433799833,0.541089683795208,11.9700266045141,-0.447534085141048,0.313813203450018,0.057067915738164,58.6735644014623,11.6541176263078,25.2514619738055,40.7874948238887,15.0360635552186,5.42609327387633,5.94551766174417,14.5166391673508,67.8837255445973,7.55742404173575,4.09669358457203,0,25.2310323416529,12.4175606896551,23.4067688463245,0.357547858031915,0.0677170841019593,9.99619511742068e-06,13737
"LR89",511.262626962142,1.08767493482016,0.540567900646902,11.9730472076012,-0.445340721340419,0.313722314318871,0.0557109158297845,58.7122388988511,11.6782553053618,25.2737968590647,40.7075063313469,15.09924554634,5.41073634953839,5.93087989949919,14.5791019963792,67.8117627987599,7.56822265922152,4.11003264614025,0,25.2484437334528,12.4183879289416,23.4180169928146,0.358504163025905,0.0674485865451507,9.99782598689337e-06,13737
"LR91",517.795515836498,1.08398967322748,0.539683374614288,12.1690774690782,-0.402069242826995,0.316607295505473,0.0556657444292589,58.7135262837661,11.3521961008653,25.5770975823015,40.5240090591539,15.1869829718197,5.51778341451829,6.02560561368661,14.6791607726514,67.9430375127967,7.37492987149241,3.97726622937285,0,25.5273923278761,12.5711467119052,23.7577861672377,0.349974931557184,0.0627757324490038,9.99503886863019e-06,13737
"LR55",550.841371060208,1.07471416197474,0.535199498570511,13.0094667394622,-0.318710568416434,0.321839892410044,0.0473507004064348,58.9505050384166,9.77217312164156,27.3792761551554,40.5366351991226,15.1837040589445,5.24991358927754,5.66046077617138,14.7731568720507,69.7942092301364,6.55194703894965,3.22022608269192,0,27.1779166857531,13.3281773078787,25.4409114814332,0.315027201811207,0.0491903626787835,1e-05,13737
"LR93",508.569656357823,1.08718905289591,0.541393198339942,11.9188951984102,-0.441867575000844,0.314154719386896,0.0585763475022787,58.6305740961851,11.7241232143103,25.1653740557473,40.6861326370355,15.0606884144915,5.50377391925734,6.02158530563856,14.5428770281103,67.7114144519408,7.61762331586304,4.10649989844727,0,25.0823092426927,12.360762773411,23.2799238612406,0.360251917031777,0.0683499040562145,9.99938314689686e-06,13737
"LR95",507.069647841708,1.08803530574875,0.541462396176016,11.8750631078963,-0.448600972114967,0.313647916312425,0.05805975901958,58.645296867942,11.7939185878159,25.1303440366286,40.6967084711486,15.0818741979769,5.47388107980278,6.01058736986619,14.5451679079135,67.6503261344044,7.63442067044949,4.15949791736641,0,25.0234507729686,12.3236640800113,23.2064825370806,0.360611914599912,0.0692555624082075,9.9993609234918e-06,13737
"RO1.14",509.097205593983,1.08792153985554,0.541137163093785,11.9217579157107,-0.449268809551771,0.313570229801311,0.0570474132442777,58.6741487225381,11.7321603331917,25.2219849579919,40.6922611365386,15.0825145551507,5.42165589448047,5.95292877440167,14.5512416752295,67.7636692171771,7.58968733265202,4.14247300053969,0,25.1293121269253,12.3710267252625,23.3068944378036,0.359039082739575,0.0686421593990633,9.99767947075738e-06,13737
"RO1.16",508.413473155893,1.08793236580991,0.541566163411374,11.9075129248911,-0.45029083672625,0.313565310495827,0.0580501800211971,58.6455698693959,11.7277187910916,25.1941560057549,40.7061562915983,15.0826189155463,5.43224483413818,5.96254219710126,14.5523215525833,67.7574174592239,7.58800162174675,4.1397171693448,0,25.0856388741341,12.3578037616173,23.2709695447285,0.35872563445929,0.0688695669426708,9.99914564018049e-06,13737
"RO1.18",514.940370485062,1.08645648686825,0.54003190848622,12.0744340692748,-0.426551908078816,0.314630685950435,0.0546528550718055,58.7423936304535,11.5159805701349,25.5051247518242,40.658231489999,15.0505004240133,5.43719716351164,5.96349245446568,14.5242051330593,67.9963218423402,7.496187526583,4.01979304355186,0,25.4259603678367,12.5009859773536,23.6114254457712,0.351977614843885,0.0658277777443892,9.99684077493138e-06,13737
